Year,Units,Type of expenditure,Area of spending,Value
2009,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2010,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2011,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2012,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2013,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2014,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2015,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2016,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2017,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2000,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2001,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2002,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2003,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2004,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2005,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2006,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2007,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2008,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2009,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2010,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2011,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2012,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2013,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2014,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2015,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2016,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2017,Local government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.0
2000,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2001,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2002,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2003,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2004,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2005,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2006,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2007,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2008,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2009,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2010,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2011,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2012,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2013,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2014,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2015,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2016,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2017,Local government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,0.0
2000,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2001,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2002,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2003,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2004,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2005,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2006,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2007,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2008,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2009,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2010,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2011,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2012,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2013,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2014,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2015,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2016,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2017,Local government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,0.0
2000,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2001,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2002,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2003,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2004,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2005,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2006,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2007,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2008,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2009,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2010,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2011,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2012,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2013,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2014,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2015,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2016,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2017,Local government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,0.0
2000,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,121.38688077491972
2001,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,79.42415373944817
2002,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,82.92667314627808
2003,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,89.00559554770805
2004,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,91.55902212495664
2005,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,98.60411531897778
2006,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,102.98041497950749
2007,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,105.25268635710569
2008,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,106.60942873133001
2009,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,109.31489467639996
2010,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,106.72487830527649
2011,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,99.64430805987507
2012,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,92.2847500196217
2013,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,83.59631046849188
2014,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,78.48686003021822
2015,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,70.0353248348948
2016,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,61.022329663767884
2017,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,64.88472173009774
2000,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,54.83467235901172
2001,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,45.50606465582866
2002,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,47.485332439438935
2003,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,51.528672780351705
2004,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,54.011316021244234
2005,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,57.752183707892144
2006,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,60.77883048838429
2007,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,61.92197863308496
2008,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,62.678127193734454
2009,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,64.37468378827667
2010,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,63.19362008938886
2011,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,59.950920516835716
2012,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,56.84012243936896
2013,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,51.74266874864481
2014,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,49.754786614816844
2015,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,46.106588849639074
2016,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,42.4840932182348
2017,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,43.29181316834293
2000,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,47.88906040644567
2001,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,40.025036793937026
2002,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,41.80865381861917
2003,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,44.18420200983621
2004,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,44.736982572259734
2005,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,48.30062254503561
2006,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,49.97772374484399
2007,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,50.89768114665741
2008,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,51.42032679971144
2009,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,52.69793850033327
2010,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,52.13553326588006
2011,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,49.632535936579075
2012,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,47.01357821207127
2013,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,42.94469914531781
2014,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,41.24043296262354
2015,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,39.456304715097524
2016,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,36.345301691899685
2017,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,36.508066299011816
2000,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2001,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2002,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2003,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2004,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2005,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2006,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2007,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2008,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2009,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2010,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2011,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2012,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2013,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2014,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2015,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2016,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2017,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,0.0
2000,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2001,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2002,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2003,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2004,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2005,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2006,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2007,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2008,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2009,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2010,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2011,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2012,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2013,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2014,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2015,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2016,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2017,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2000,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2001,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2002,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2003,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2004,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2005,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2006,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2007,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2008,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2009,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2010,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2011,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2012,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2013,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2014,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2015,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2016,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2017,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0
2000,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",18.663148009462336
2001,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-6.106947710317527
2002,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-6.367313111780035
2003,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-6.707279242479882
2004,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-7.189276468547332
2005,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-7.448690933949975
2006,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-7.776139253720792
2007,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-7.566973422636666
2008,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-7.4890252621158835
2009,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-7.757727612209988
2010,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-8.604275049992431
2011,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-9.939148393539712
2012,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-11.568950631818538
2013,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-11.091057425470746
2014,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-12.508359547222154
2015,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-15.527568729841805
2016,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-17.807065246366612
2017,Local government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-14.915157737257006
