Year,Units,Origin of tourist,Type of tourist,Type of expenditure,Unit measure,Unit multiplier,Observation status,Value
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),,Percentage (%),Units,Undefined,0.03065
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.0
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,0.00187
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.00174
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.00026
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.00185
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.01755
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Transport equipment rental services,Percentage (%),Units,Undefined,8e-05
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,6e-05
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Cultural activities,Percentage (%),Units,Undefined,0.00011
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Sport and recreation activities,Percentage (%),Units,Undefined,8e-05
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,4e-05
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Other consumption products,Percentage (%),Units,Undefined,0.00519
2015,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),,Percentage (%),Units,Undefined,0.02883
2016,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,0.00176
2016,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.00187
2016,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.00025
2016,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.00117
2016,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.01643
2016,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Transport equipment rental services,Percentage (%),Units,Undefined,8e-05
2016,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,5e-05
2016,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Cultural activities,Percentage (%),Units,Undefined,0.0001
2016,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Sport and recreation activities,Percentage (%),Units,Undefined,8e-05
2016,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,6e-05
2016,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Other consumption products,Percentage (%),Units,Undefined,0.00547
2016,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),,Percentage (%),Units,Undefined,0.02732
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Accommodation services for visitors,Percentage (%),Units,Undefined,0.3011
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Food and beverage serving activities,Percentage (%),Units,Undefined,0.20469
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Railway passenger transport services,Percentage (%),Units,Undefined,0.02382
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Road passenger transport services,Percentage (%),Units,Undefined,0.02862
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Water passenger transport services,Percentage (%),Units,Undefined,0.02471
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Air passenger transport services,Percentage (%),Units,Undefined,0.17874
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Transport equipment rental services,Percentage (%),Units,Undefined,0.00688
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.00611
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Cultural activities,Percentage (%),Units,Undefined,0.012
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Sport and recreation activities,Percentage (%),Units,Undefined,0.00927
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.00726
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Other consumption products,Percentage (%),Units,Undefined,0.55533
2013,Percentage (%) of gross domestic product (GDP),Inbound,,,Percentage (%),Units,Undefined,1.35854
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Accommodation services for visitors,Percentage (%),Units,Undefined,0.29757
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Food and beverage serving activities,Percentage (%),Units,Undefined,0.20228
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Railway passenger transport services,Percentage (%),Units,Undefined,0.02249
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Road passenger transport services,Percentage (%),Units,Undefined,0.02789
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Water passenger transport services,Percentage (%),Units,Undefined,0.02276
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Air passenger transport services,Percentage (%),Units,Undefined,0.17371
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Transport equipment rental services,Percentage (%),Units,Undefined,0.00834
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.00581
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Cultural activities,Percentage (%),Units,Undefined,0.01183
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Sport and recreation activities,Percentage (%),Units,Undefined,0.00889
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.00545
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Other consumption products,Percentage (%),Units,Undefined,0.56214
2014,Percentage (%) of gross domestic product (GDP),Inbound,,,Percentage (%),Units,Undefined,1.34917
2015,Percentage (%) of gross domestic product (GDP),Inbound,,Accommodation services for visitors,Percentage (%),Units,Undefined,0.29396
2015,Percentage (%) of gross domestic product (GDP),Inbound,,Food and beverage serving activities,Percentage (%),Units,Undefined,0.19967
2015,Percentage (%) of gross domestic product (GDP),Inbound,,Railway passenger transport services,Percentage (%),Units,Undefined,0.02111
2015,Percentage (%) of gross domestic product (GDP),Inbound,,Road passenger transport services,Percentage (%),Units,Undefined,0.02773
2015,Percentage (%) of gross domestic product (GDP),Inbound,,Water passenger transport services,Percentage (%),Units,Undefined,0.0217
2015,Percentage (%) of gross domestic product (GDP),Inbound,,Air passenger transport services,Percentage (%),Units,Undefined,0.17024
2015,Percentage (%) of gross domestic product (GDP),Inbound,,Transport equipment rental services,Percentage (%),Units,Undefined,0.00844
2015,Percentage (%) of gross domestic product (GDP),Inbound,,Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.00592
2015,Percentage (%) of gross domestic product (GDP),Inbound,,Cultural activities,Percentage (%),Units,Undefined,0.0115
2015,Percentage (%) of gross domestic product (GDP),Inbound,,Sport and recreation activities,Percentage (%),Units,Undefined,0.00901
2015,Percentage (%) of gross domestic product (GDP),Inbound,,Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.00474
2015,Percentage (%) of gross domestic product (GDP),Inbound,,Other consumption products,Percentage (%),Units,Undefined,0.55432
2015,Percentage (%) of gross domestic product (GDP),Inbound,,,Percentage (%),Units,Undefined,1.32833
2016,Percentage (%) of gross domestic product (GDP),Inbound,,Accommodation services for visitors,Percentage (%),Units,Undefined,0.27745
2016,Percentage (%) of gross domestic product (GDP),Inbound,,Food and beverage serving activities,Percentage (%),Units,Undefined,0.18851
2016,Percentage (%) of gross domestic product (GDP),Inbound,,Railway passenger transport services,Percentage (%),Units,Undefined,0.02051
2016,Percentage (%) of gross domestic product (GDP),Inbound,,Road passenger transport services,Percentage (%),Units,Undefined,0.02648
2016,Percentage (%) of gross domestic product (GDP),Inbound,,Water passenger transport services,Percentage (%),Units,Undefined,0.01422
2016,Percentage (%) of gross domestic product (GDP),Inbound,,Air passenger transport services,Percentage (%),Units,Undefined,0.16184
2016,Percentage (%) of gross domestic product (GDP),Inbound,,Transport equipment rental services,Percentage (%),Units,Undefined,0.00854
2016,Percentage (%) of gross domestic product (GDP),Inbound,,Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.00557
2016,Percentage (%) of gross domestic product (GDP),Inbound,,Cultural activities,Percentage (%),Units,Undefined,0.0109
2016,Percentage (%) of gross domestic product (GDP),Inbound,,Sport and recreation activities,Percentage (%),Units,Undefined,0.00872
2016,Percentage (%) of gross domestic product (GDP),Inbound,,Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.00657
2016,Percentage (%) of gross domestic product (GDP),Inbound,,Other consumption products,Percentage (%),Units,Undefined,0.58761
2016,Percentage (%) of gross domestic product (GDP),Inbound,,,Percentage (%),Units,Undefined,1.31691
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.44568
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,0.26172
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.04766
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.01447
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.01231
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.0152
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Transport equipment rental services,Percentage (%),Units,Undefined,0.01123
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.05177
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Cultural activities,Percentage (%),Units,Undefined,0.04777
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Sport and recreation activities,Percentage (%),Units,Undefined,0.03122
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.00486
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Other consumption products,Percentage (%),Units,Undefined,0.37159
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),,Percentage (%),Units,Undefined,1.3155
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.44386
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,0.2512
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.04108
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.01464
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.0045
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.02957
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Transport equipment rental services,Percentage (%),Units,Undefined,0.00969
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.0504
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Cultural activities,Percentage (%),Units,Undefined,0.04555
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Sport and recreation activities,Percentage (%),Units,Undefined,0.02624
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.00318
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Other consumption products,Percentage (%),Units,Undefined,0.32759
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),,Percentage (%),Units,Undefined,1.24751
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.46072
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,0.28179
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.04285
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.01461
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.00462
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.03148
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Transport equipment rental services,Percentage (%),Units,Undefined,0.00958
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.05137
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Cultural activities,Percentage (%),Units,Undefined,0.04938
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Sport and recreation activities,Percentage (%),Units,Undefined,0.02845
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.00298
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Other consumption products,Percentage (%),Units,Undefined,0.34856
2015,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),,Percentage (%),Units,Undefined,1.32639
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.45949
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,0.25569
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.03724
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.00157
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.0133
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.03235
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Transport equipment rental services,Percentage (%),Units,Undefined,0.00699
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.03944
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Cultural activities,Percentage (%),Units,Undefined,0.04597
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Sport and recreation activities,Percentage (%),Units,Undefined,0.02458
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.0034
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Other consumption products,Percentage (%),Units,Undefined,0.30407
2016,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),,Percentage (%),Units,Undefined,1.22409
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.0
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,1.21341
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.13183
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.07185
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.03826
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.02942
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Transport equipment rental services,Percentage (%),Units,Undefined,0.01695
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.01725
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Cultural activities,Percentage (%),Units,Undefined,0.23526
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Sport and recreation activities,Percentage (%),Units,Undefined,0.13988
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.01996
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Other consumption products,Percentage (%),Units,Undefined,1.04374
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),,Percentage (%),Units,Undefined,2.95781
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.0
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,1.12094
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.1319
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.05593
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.0089
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.02131
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Transport equipment rental services,Percentage (%),Units,Undefined,0.01517
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.01062
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Cultural activities,Percentage (%),Units,Undefined,0.15837
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Sport and recreation activities,Percentage (%),Units,Undefined,0.23118
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.00573
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Other consumption products,Percentage (%),Units,Undefined,1.09903
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),,Percentage (%),Units,Undefined,2.85907
2015,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,1.09738
2015,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.12912
2015,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.05476
2015,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.00871
2015,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.02086
2015,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Transport equipment rental services,Percentage (%),Units,Undefined,0.01485
2015,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.01039
2015,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Cultural activities,Percentage (%),Units,Undefined,0.15504
2015,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Sport and recreation activities,Percentage (%),Units,Undefined,0.22633
2015,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.00561
2015,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Other consumption products,Percentage (%),Units,Undefined,1.07592
2015,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),,Percentage (%),Units,Undefined,2.79897
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.0
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,1.25595
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.13874
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.00554
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.02151
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.06909
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Transport equipment rental services,Percentage (%),Units,Undefined,0.05457
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.0734
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Cultural activities,Percentage (%),Units,Undefined,0.31947
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Sport and recreation activities,Percentage (%),Units,Undefined,0.1708
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.0148
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Other consumption products,Percentage (%),Units,Undefined,1.38642
2016,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),,Percentage (%),Units,Undefined,3.51029
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Accommodation services for visitors,Percentage (%),Units,Undefined,0.44568
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Food and beverage serving activities,Percentage (%),Units,Undefined,1.47513
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Railway passenger transport services,Percentage (%),Units,Undefined,0.17948
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Road passenger transport services,Percentage (%),Units,Undefined,0.08632
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Water passenger transport services,Percentage (%),Units,Undefined,0.05057
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Air passenger transport services,Percentage (%),Units,Undefined,0.04463
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Transport equipment rental services,Percentage (%),Units,Undefined,0.02819
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.06902
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Cultural activities,Percentage (%),Units,Undefined,0.28304
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Sport and recreation activities,Percentage (%),Units,Undefined,0.1711
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.02483
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Other consumption products,Percentage (%),Units,Undefined,1.41533
2013,Percentage (%) of gross domestic product (GDP),Domestic,,,Percentage (%),Units,Undefined,4.27331
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Accommodation services for visitors,Percentage (%),Units,Undefined,0.44386
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Food and beverage serving activities,Percentage (%),Units,Undefined,1.37214
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Railway passenger transport services,Percentage (%),Units,Undefined,0.17298
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Road passenger transport services,Percentage (%),Units,Undefined,0.07057
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Water passenger transport services,Percentage (%),Units,Undefined,0.0134
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Air passenger transport services,Percentage (%),Units,Undefined,0.05088
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Transport equipment rental services,Percentage (%),Units,Undefined,0.02486
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.06102
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Cultural activities,Percentage (%),Units,Undefined,0.20392
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Sport and recreation activities,Percentage (%),Units,Undefined,0.25743
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.0089
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Other consumption products,Percentage (%),Units,Undefined,1.42661
2014,Percentage (%) of gross domestic product (GDP),Domestic,,,Percentage (%),Units,Undefined,4.10658
2015,Percentage (%) of gross domestic product (GDP),Domestic,,Accommodation services for visitors,Percentage (%),Units,Undefined,0.46072
2015,Percentage (%) of gross domestic product (GDP),Domestic,,Food and beverage serving activities,Percentage (%),Units,Undefined,1.37916
2015,Percentage (%) of gross domestic product (GDP),Domestic,,Railway passenger transport services,Percentage (%),Units,Undefined,0.17197
2015,Percentage (%) of gross domestic product (GDP),Domestic,,Road passenger transport services,Percentage (%),Units,Undefined,0.06937
2015,Percentage (%) of gross domestic product (GDP),Domestic,,Water passenger transport services,Percentage (%),Units,Undefined,0.01334
2015,Percentage (%) of gross domestic product (GDP),Domestic,,Air passenger transport services,Percentage (%),Units,Undefined,0.05234
2015,Percentage (%) of gross domestic product (GDP),Domestic,,Transport equipment rental services,Percentage (%),Units,Undefined,0.02443
2015,Percentage (%) of gross domestic product (GDP),Domestic,,Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.06176
2015,Percentage (%) of gross domestic product (GDP),Domestic,,Cultural activities,Percentage (%),Units,Undefined,0.20442
2015,Percentage (%) of gross domestic product (GDP),Domestic,,Sport and recreation activities,Percentage (%),Units,Undefined,0.25478
